res,mp,tile,size,ms
(400 300),0.11444091796875,(16 16),450,1.065854787826538
(640 480),0.29296875,(16 16),1200,1.7387619018554688
(800 600),0.457763671875,(16 16),1850,1.6987643241882324
(1024 768),0.75,(16 16),3072,1.9314255714416504
(1600 1200),1.8310546875,(16 16),7500,1.845346450805664
(1920 1080),1.9775390625,(16 16),8040,1.9287724494934082
(2560 1440),3.515625,(16 16),14400,1.8727717399597168
(2048 2048),4.0,(16 16),16384,1.949333906173706
(3600 2400),8.23974609375,(16 16),33750,2.0031585693359375
(4096 4096),16.0,(16 16),65536,2.3606455326080322
(8192 8192),64.0,(16 16),262144,3.5042660236358643
