res,mp,tile,size,ms
(400 300),0.11444091796875,(16 16),450,0.84018874168396
(640 480),0.29296875,(16 16),1200,1.5034031867980957
(800 600),0.457763671875,(16 16),1850,1.59376859664917
(1024 768),0.75,(16 16),3072,1.5253267288208008
(1600 1200),1.8310546875,(16 16),7500,1.6107697486877441
(1920 1080),1.9775390625,(16 16),8040,1.5732543468475342
(2560 1440),3.515625,(16 16),14400,1.5349137783050537
(2048 2048),4.0,(16 16),16384,1.5734403133392334
(3600 2400),8.23974609375,(16 16),33750,1.698274850845337
(4096 4096),16.0,(16 16),65536,1.9537093639373777
(8192 8192),64.0,(16 16),262144,3.2550201416015625
